wine_name,price,overall_rating,is_cellar_defender
Grands ?hezeaux Grand Cru,600.0,4.3,False
State Lane Vineyard Cabernet Sauvignon Grand-Vin,600.0,4.3,False
Ark Vineyard Cabernet Sauvignon,599.99,4.8,False
La Joie,599.99,4.7,False
Pomerol,599.99,4.6,False
La Joie,599.99,4.5,False
Pauillac (Premier Grand Cru Class?),599.99,4.5,False
Pauillac (Premier Grand Cru Class?),599.99,4.4,False
Pauillac (Premier Grand Cru Class?),599.99,4.3,False
Pauillac (Premier Grand Cru Class?),599.99,4.3,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.7,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.7,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.3,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.3,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),599.95,4.1,False
Bandol Cuv? La Tourtine,598.95,4.2,False
Cuv? Da Capo Ch?eauneuf-du-Pape,596.99,4.7,False
Cuv? Da Capo Ch?eauneuf-du-Pape,596.99,4.5,False
The Falstaff,595.0,4.7,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),595.0,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),595.0,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),595.0,4.5,False
Bonnes Mares Grand Cru,584.99,4.3,False
C?e-R?ie La Turque,577.99,4.6,False
IX Estate Red,575.0,4.8,False
IX Estate Red,575.0,4.7,False
IX Estate Red,575.0,4.7,False
Pauillac (Grand Cru Class?),575.0,4.4,False
Pauillac (Grand Cru Class?),575.0,4.4,False
Cabernet Sauvignon,574.99,4.7,False
Cabernet Sauvignon,574.99,4.6,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),574.99,4.5,False
Cabernet Sauvignon,574.99,4.5,False
Saint-?ilion Grand Cru (Premier Grand Cru Class?),574.99,4.4,False
Cabernet Sauvignon,574.99,4.3,False
